Wahlkreis;Partei;Jahr;Ergebnis
Neukoelln;CDU;2017;22,3
Neukoelln;CDU;2013;29
Neukoelln;SPD;2017;19,5
Neukoelln;SPD;2013;26,2
Neukoelln;Linke;2017;18,2
Neukoelln;Linke;2013;14,3
Neukoelln;Gruene;2017;13
Neukoelln;Gruene;2013;13,9
Neukoelln;AfD;2017;11,2
Neukoelln;AfD;2013;4,2
Neukoelln;FDP;2017;7,7
Neukoelln;FDP;2013;3
Neukoelln;Sonstige;2017;8,1
Neukoelln;Sonstige;2013;9,4
