Wahlkreis;Partei;Jahr;Ergebnis
Treptow-Koepenick;CDU;2017;20,2
Treptow-Koepenick;CDU;2013;25,4
Treptow-Koepenick;SPD;2017;15,5
Treptow-Koepenick;SPD;2013;21,3
Treptow-Koepenick;Linke;2017;25,1
Treptow-Koepenick;Linke;2013;29,5
Treptow-Koepenick;Gruene;2017;7,8
Treptow-Koepenick;Gruene;2013;7,4
Treptow-Koepenick;AfD;2017;16,9
Treptow-Koepenick;AfD;2013;5,5
Treptow-Koepenick;FDP;2017;6,5
Treptow-Koepenick;FDP;2013;2
Treptow-Koepenick;Sonstige;2017;8
Treptow-Koepenick;Sonstige;2013;8,9
