Wahlkreis;Partei;Jahr;Ergebnis
Pankow;CDU;2017;19,8
Pankow;CDU;2013;23,5
Pankow;SPD;2017;15,6
Pankow;SPD;2013;22
Pankow;Linke;2017;23,5
Pankow;Linke;2013;25,2
Pankow;Gruene;2017;14,3
Pankow;Gruene;2013;14,1
Pankow;AfD;2017;12,5
Pankow;AfD;2013;4,8
Pankow;FDP;2017;6,6
Pankow;FDP;2013;2,5
Pankow;Sonstige;2017;7,7
Pankow;Sonstige;2013;7,9
