Wahlkreis;Partei;Jahr;Ergebnis
Reinickendorf;CDU;2017;31
Reinickendorf;CDU;2013;40,1
Reinickendorf;SPD;2017;20
Reinickendorf;SPD;2013;26,4
Reinickendorf;Linke;2017;8,5
Reinickendorf;Linke;2013;7,9
Reinickendorf;Gruene;2017;9,1
Reinickendorf;Gruene;2013;8,7
Reinickendorf;AfD;2017;13,7
Reinickendorf;AfD;2013;6
Reinickendorf;FDP;2017;11,4
Reinickendorf;FDP;2013;4,4
Reinickendorf;Sonstige;2017;6,3
Reinickendorf;Sonstige;2013;6,5
